lat_long,casualties_id,Casualties.casualties_id,Casualties.casualties,Casualties.fatalities,Casualties.serious_injuries,Casualties.minor_injuries,Location2.lat_long,Location2.latitude,Location2.longitude
"(-37.50956890782456, 144.3582815631397)",2c2m,2c2m,2,0,0,2,"(-37.50956890782456, 144.3582815631397)",-37.50956891,144.3582816
"(-37.50956890782456, 144.3582815631397)",1c1m,1c1m,1,0,0,1,"(-37.50956890782456, 144.3582815631397)",-37.50956891,144.3582816
"(-36.72422187677939, 145.34208574196776)",1c1m,1c1m,1,0,0,1,"(-36.72422187677939, 145.34208574196776)",-36.72422188,145.3420857
"(-36.72422187677939, 145.34208574196776)",1c1m,1c1m,1,0,0,1,"(-36.72422187677939, 145.34208574196776)",-36.72422188,145.3420857
"(-37.019484234733994, 144.97580328739056)",1c1s,1c1s,1,0,1,0,"(-37.019484234733994, 144.97580328739056)",-37.01948423,144.9758033
"(-37.019484234733994, 144.97580328739056)",1c1m,1c1m,1,0,0,1,"(-37.019484234733994, 144.97580328739056)",-37.01948423,144.9758033
"(-37.017417284828575, 144.97838218350668)",1c1m,1c1m,1,0,0,1,"(-37.017417284828575, 144.97838218350668)",-37.01741728,144.9783822
"(-36.99680810243376, 145.00408437988995)",1c1s,1c1s,1,0,1,0,"(-36.99680810243376, 145.00408437988995)",-36.99680810,145.0040844
"(-36.9734294100044, 145.0332152143991)",2c2m,2c2m,2,0,0,2,"(-36.9734294100044, 145.0332152143991)",-36.97342941,145.0332152
"(-36.94916446964662, 145.0634219988406)",1c1s,1c1s,1,0,1,0,"(-36.94916446964662, 145.0634219988406)",-36.94916447,145.0634220
"(-37.03393647644907, 144.95776559890024)",1c1s,1c1s,1,0,1,0,"(-37.03393647644907, 144.95776559890024)",-37.03393648,144.9577656
"(-36.97584153772341, 145.0302108432719)",1c1m,1c1m,1,0,0,1,"(-36.97584153772341, 145.0302108432719)",-36.97584154,145.0302108
"(-36.97584153772341, 145.0302108432719)",1c1m,1c1m,1,0,0,1,"(-36.97584153772341, 145.0302108432719)",-36.97584154,145.0302108
"(-36.766274570262716, 145.29017534447098)",2c2m,2c2m,2,0,0,2,"(-36.766274570262716, 145.29017534447098)",-36.76627457,145.2901753
